,count,mean,std,min,1%,10%,25%,50%,75%,90%,95%,99%,max
ACCOUNT_STATUS,19999,0.500675034,0.500012045,0,0,0,0,1,1,1,1,1,1
DIRECT_INDIRECT_CHANNEL,19999,0.785689284,0.502193622,0,0,0,0,1,1,1,1,2,2
FEEDBACK,19999,0.588929446,0.658424484,0,0,0,0,0,1,1,2,2,2
GENDER,19999,0.638081904,0.694168588,0,0,0,0,1,1,2,2,2,2
AGE,19999,46.31476574,14.59816386,20,20,26,34,47,58,65,70,77,92
INCOME,19999,4.249862493,3.460522992,0,0,0,0,4,6,9,10,13,13
MARITAL_STATUS,19999,1.058752938,1.104635816,0,0,0,0,1,1,3,3,3,3
PRESENCE_OF_CHILDREN,19999,0.525176259,0.711410077,0,0,0,0,0,1,2,2,2,2
COMPUTER_OWNER,19999,0.820641032,0.808051523,0,0,0,0,1,2,2,2,2,2
SERVICE_PLAN_basic_plan,19999,0.19100955,0.393106384,0,0,0,0,0,0,1,1,1,1
SERVICE_PLAN_Elite,19999,0.152557628,0.359569552,0,0,0,0,0,0,1,1,1,1
SERVICE_PLAN_Home,19999,0.118255913,0.322918977,0,0,0,0,0,0,1,1,1,1
SERVICE_PLAN_power_plan,19999,0.09360468,0.291285232,0,0,0,0,0,0,0,1,1,1
SERVICE_PLAN_proffessional_plan,19999,0.249312466,0.432625842,0,0,0,0,0,0,1,1,1,1
SERVICE_PLAN_SO,19999,0.05920296,0.236010074,0,0,0,0,0,0,0,1,1,1
SERVICE_PLAN_no-plan,19999,0.136056803,0.342857444,0,0,0,0,0,0,1,1,1,1
MODEL_DW4000,19999,0.113155658,0.316790898,0,0,0,0,0,0,1,1,1,1
MODEL_DW4020,19999,0.032751638,0.177990314,0,0,0,0,0,0,0,0,1,1
MODEL_DW6000,19999,0.094704735,0.292813995,0,0,0,0,0,0,0,1,1,1
MODEL_DW7000,19999,0.087554378,0.282652797,0,0,0,0,0,0,0,1,1,1
MODEL_HN7000S,19999,0.309765488,0.462408393,0,0,0,0,0,1,1,1,1,1
MODEL_HN9000,19999,0.241762088,0.42816159,0,0,0,0,0,0,1,1,1,1
MODEL_NONE,19999,0.069303465,0.253975826,0,0,0,0,0,0,0,1,1,1
MODEL_UNK,19999,0.05100255,0.220008432,0,0,0,0,0,0,0,1,1,1
SALES_CHANNEL_Call Center,19999,0.152857643,0.359859221,0,0,0,0,0,0,1,1,1,1
SALES_CHANNEL_Retail/others,19999,0.292314616,0.454837472,0,0,0,0,0,1,1,1,1,1
SALES_CHANNEL_UNKNOWN-channel,19999,0.275413771,0.446733707,0,0,0,0,0,1,1,1,1,1
SALES_CHANNEL_Vars,19999,0.138906945,0.345858045,0,0,0,0,0,0,1,1,1,1
SALES_CHANNEL_Web orders,19999,0.140507025,0.347520992,0,0,0,0,0,0,1,1,1,1
COMPANY_SOURCE_NAME_HNS Customers,19999,0.999049952,0.030808966,0,1,1,1,1,1,1,1,1,1
COMPANY_SOURCE_NAME_UNKNOWN,19999,0.000950048,0.030808966,0,0,0,0,0,0,0,0,0,1
SITE_TYPE_DESC_Broadband Remote,19999,0.578978949,0.493735268,0,0,0,0,1,1,1,1,1,1
SITE_TYPE_DESC_Spaceway,19999,0.417320866,0.493129111,0,0,0,0,0,1,1,1,1,1
SITE_TYPE_DESC_unknown-site-desc,19999,0.003700185,0.06071802,0,0,0,0,0,0,0,0,0,1
WARRANTY_NAME_Broadband Remote,19999,0.001950098,0.044117932,0,0,0,0,0,0,0,0,0,1
WARRANTY_NAME_EXPRESS REPAIR,19999,0.166058303,0.372142268,0,0,0,0,0,0,1,1,1,1
WARRANTY_NAME_SRVC ASSUR,19999,0.017500875,0.131131439,0,0,0,0,0,0,0,0,1,1
WARRANTY_NAME_Spaceway,19999,0.00080004,0.028274368,0,0,0,0,0,0,0,0,0,1
WARRANTY_NAME_noservice,19999,0.813690685,0.389365811,0,0,0,1,1,1,1,1,1,1
